n_stations,D,r_mec,D_over_2,kappa,covered,area
2,2428.763825496213,1214.3819127481065,1214.3819127481065,1.0,True,46276.02700375908
2,1846.6116384790598,923.3058192395299,923.3058192395299,1.0,True,29767.034844359725
2,1725.5724199406109,862.7862099703054,862.7862099703054,1.0,True,25673.188052840145
2,2371.4069485561927,1185.7034742780963,1185.7034742780963,1.0,True,25070.353432732227
2,2149.6217612188248,1074.8108806094124,1074.8108806094124,1.0,True,35218.88129859729
2,1939.3828552845537,969.6914276422768,969.6914276422768,1.0,True,32094.980613492837
2,1549.2428066249752,774.6214033124876,774.6214033124876,1.0,True,5020.882712721053
2,2779.879608002285,1389.9398040011424,1389.9398040011424,1.0,True,66469.05486874131
2,1959.745544990833,979.8727724954165,979.8727724954165,1.0,True,19053.223033861344
2,1645.7709485887212,822.8854742943606,822.8854742943606,1.0,True,23156.42119267259
2,1840.022822355614,920.011411177807,920.011411177807,1.0,True,20113.193036100784
2,1987.2399781661106,993.6199890830553,993.6199890830553,1.0,True,27680.72972583476
2,2419.396133475658,1209.698066737829,1209.698066737829,1.0,True,30505.699109088717
2,2055.68762416742,1027.84381208371,1027.84381208371,1.0,True,35534.37917988136
2,1692.228302009147,846.1141510045735,846.1141510045735,1.0,True,24903.413570703815
2,2159.587416950527,1079.7937084752634,1079.7937084752634,1.0,True,36773.41018555257
2,2075.505673776954,1037.752836888477,1037.752836888477,1.0,True,34661.767375735595
2,1714.4800439571677,857.2400219785839,857.2400219785839,1.0,True,3788.1657844933507
2,1631.358239049964,815.679119524982,815.679119524982,1.0,True,12398.996549161937
2,2243.4485554504304,1121.7242777252152,1121.7242777252152,1.0,True,34576.67961708198
2,1835.7838527695449,917.8919263847724,917.8919263847724,1.0,True,28140.05542833579
2,2344.257831873249,1172.1289159366245,1172.1289159366245,1.0,True,43558.48462061432
2,2642.2882076307783,1321.1441038153891,1321.1441038153891,1.0,True,57503.26144812134
2,1778.9955487330315,889.4977743665157,889.4977743665157,1.0,True,20715.093395833617
2,2405.0908916385156,1202.5454458192578,1202.5454458192578,1.0,True,40168.25825549298
2,2007.2924919316742,1003.6462459658371,1003.6462459658371,1.0,True,14114.764754793316
