run,log_file,idx,vt_s,dt_s,action,channel,x,y,result
6,r06_20260912_222458.jsonl,121,2532.409,25.355,clear,16,673.495,1317.37,success
6,r06_20260912_222458.jsonl,122,2818.589,286.18,measure,17,1150.0,0.0,direction
6,r06_20260912_222458.jsonl,123,2824.589,6.0,measure,14,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,124,2830.589,6.0,measure,13,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,125,2836.589,6.0,measure,19,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,126,2842.589,6.0,measure,20,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,127,2848.589,6.0,measure,11,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,128,2854.589,6.0,measure,10,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,129,2860.589,6.0,measure,9,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,130,2866.589,6.0,measure,7,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,131,2872.589,6.0,measure,6,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,132,2878.589,6.0,measure,3,1150.0,0.0,direction
6,r06_20260912_222458.jsonl,133,2884.589,6.0,measure,2,1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,134,2890.589,6.0,measure,3,1150.0,0.0,direction
6,r06_20260912_222458.jsonl,135,2896.589,6.0,measure,17,1150.0,0.0,direction
6,r06_20260912_222458.jsonl,136,2971.589,75.0,measure,17,1482.471,-109.375,direction
6,r06_20260912_222458.jsonl,137,3000.589,29.0,measure,17,1540.208,-214.572,direction
6,r06_20260912_222458.jsonl,138,3029.589,29.0,measure,17,1641.493,-278.926,direction
6,r06_20260912_222458.jsonl,139,3058.41,28.821,clear,17,1712.194,-374.777,success
6,r06_20260912_222458.jsonl,140,3134.41,76.0,measure,3,1766.162,-720.591,direction
6,r06_20260912_222458.jsonl,141,3277.939,143.529,clear,3,1073.61,-709.103,success
6,r06_20260912_222458.jsonl,142,3398.984,121.045,measure,2,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,143,3404.984,6.0,measure,6,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,144,3410.984,6.0,measure,7,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,145,3416.984,6.0,measure,9,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,146,3422.984,6.0,measure,10,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,147,3428.984,6.0,measure,11,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,148,3434.984,6.0,measure,13,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,149,3440.984,6.0,measure,14,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,150,3446.984,6.0,measure,19,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,151,3452.984,6.0,measure,20,575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,152,3452.984,0.0,exit,,,,
6,r06_20260912_232908.jsonl,0,0.0,0.0,enter,,,,
6,r06_20260912_232908.jsonl,1,5.0,5.0,measure,1,0.0,0.0,direction
6,r06_20260912_232908.jsonl,2,11.0,6.0,measure,2,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,3,17.0,6.0,measure,3,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,4,23.0,6.0,measure,4,0.0,0.0,direction
6,r06_20260912_232908.jsonl,5,29.0,6.0,measure,5,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,6,35.0,6.0,measure,6,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,7,41.0,6.0,measure,7,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,8,47.0,6.0,measure,8,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,9,53.0,6.0,measure,9,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,10,59.0,6.0,measure,10,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,11,65.0,6.0,measure,11,0.0,0.0,direction
6,r06_20260912_232908.jsonl,12,71.0,6.0,measure,12,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,13,77.0,6.0,measure,13,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,14,83.0,6.0,measure,14,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,15,89.0,6.0,measure,15,0.0,0.0,direction
6,r06_20260912_232908.jsonl,16,95.0,6.0,measure,16,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,17,101.0,6.0,measure,17,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,18,107.0,6.0,measure,18,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,19,113.0,6.0,measure,19,0.0,0.0,no_signal
6,r06_20260912_232908.jsonl,20,119.0,6.0,measure,20,0.0,0.0,direction
6,r06_20260912_232908.jsonl,21,195.0,76.0,measure,4,302.219,176.532,direction
6,r06_20260912_232908.jsonl,22,201.0,6.0,measure,1,302.219,176.532,direction
6,r06_20260912_232908.jsonl,23,207.0,6.0,measure,11,302.219,176.532,direction
6,r06_20260912_232908.jsonl,24,213.0,6.0,measure,15,302.219,176.532,no_signal
6,r06_20260912_232908.jsonl,25,219.0,6.0,measure,20,302.219,176.532,direction
6,r06_20260912_232908.jsonl,26,285.363,66.363,measure,4,603.551,159.474,direction
6,r06_20260912_232908.jsonl,27,291.363,6.0,measure,15,603.551,159.474,no_signal
6,r06_20260912_232908.jsonl,28,333.949,42.586,measure,4,767.48,240.662,direction
6,r06_20260912_232908.jsonl,29,363.878,29.929,measure,4,891.845,249.003,direction
6,r06_20260912_232908.jsonl,30,392.878,29.0,measure,4,1003.884,291.982,direction
6,r06_20260912_232908.jsonl,31,410.676,17.798,clear,4,1066.921,302.995,success
6,r06_20260912_232908.jsonl,32,447.479,36.802,measure,1,1106.733,154.219,direction
6,r06_20260912_232908.jsonl,33,453.479,6.0,measure,15,1106.733,154.219,no_signal
6,r06_20260912_232908.jsonl,34,522.61,69.131,clear,1,1157.823,-162.34,success
6,r06_20260912_232908.jsonl,35,651.379,128.769,clear,20,548.454,-270.233,success
6,r06_20260912_232908.jsonl,36,800.823,149.444,clear,11,338.987,420.944,success
6,r06_20260912_232908.jsonl,37,875.823,75.0,measure,15,105.064,160.598,direction
6,r06_20260912_232908.jsonl,38,932.75,56.927,measure,15,-127.212,44.587,direction
6,r06_20260912_232908.jsonl,39,978.634,45.884,measure,15,-247.693,-120.552,direction
6,r06_20260912_232908.jsonl,40,1010.511,31.878,measure,15,-362.874,-189.788,direction
6,r06_20260912_232908.jsonl,41,1039.511,29.0,measure,15,-444.659,-277.601,direction
6,r06_20260912_232908.jsonl,42,1068.511,29.0,measure,15,-545.361,-342.863,direction
6,r06_20260912_232908.jsonl,43,1095.699,27.187,measure,15,-651.533,-375.023,direction
6,r06_20260912_232908.jsonl,44,1111.868,16.169,clear,15,-636.174,-428.715,success
6,r06_20260912_232908.jsonl,45,1231.968,120.101,measure,14,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,46,1237.968,6.0,measure,16,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,47,1243.968,6.0,measure,13,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,48,1249.968,6.0,measure,17,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,49,1255.968,6.0,measure,12,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,50,1261.968,6.0,measure,18,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,51,1267.968,6.0,measure,19,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,52,1273.968,6.0,measure,10,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,53,1279.968,6.0,measure,9,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,54,1285.968,6.0,measure,8,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,55,1291.968,6.0,measure,7,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,56,1297.968,6.0,measure,6,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,57,1303.968,6.0,measure,5,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,58,1309.968,6.0,measure,3,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,59,1315.968,6.0,measure,2,-575.0,-995.929,no_signal
6,r06_20260912_232908.jsonl,60,1550.968,235.0,measure,2,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,61,1556.968,6.0,measure,3,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,62,1562.968,6.0,measure,5,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,63,1568.968,6.0,measure,6,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,64,1574.968,6.0,measure,7,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,65,1580.968,6.0,measure,8,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,66,1586.968,6.0,measure,9,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,67,1592.968,6.0,measure,10,-1150.0,0.0,direction
6,r06_20260912_232908.jsonl,68,1598.968,6.0,measure,12,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,69,1604.968,6.0,measure,13,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,70,1610.968,6.0,measure,14,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,71,1616.968,6.0,measure,16,-1150.0,0.0,direction
6,r06_20260912_232908.jsonl,72,1622.968,6.0,measure,17,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,73,1628.968,6.0,measure,18,-1150.0,0.0,no_signal
6,r06_20260912_232908.jsonl,74,1634.968,6.0,measure,19,-1150.0,0.0,direction
6,r06_20260912_232908.jsonl,75,1640.968,6.0,measure,10,-1150.0,0.0,direction
6,r06_20260912_232908.jsonl,76,1646.968,6.0,measure,16,-1150.0,0.0,direction
6,r06_20260912_232908.jsonl,77,1652.968,6.0,measure,19,-1150.0,0.0,direction
6,r06_20260912_232908.jsonl,78,1728.968,76.0,measure,16,-1394.402,250.535,direction
6,r06_20260912_232908.jsonl,79,1770.092,41.123,measure,16,-1415.412,429.926,direction
6,r06_20260912_232908.jsonl,80,1799.092,29.0,measure,16,-1485.257,527.505,direction
6,r06_20260912_232908.jsonl,81,1828.092,29.0,measure,16,-1511.972,644.493,direction
6,r06_20260912_232908.jsonl,82,1864.632,36.54,clear,16,-1578.786,787.339,success
6,r06_20260912_232908.jsonl,83,1940.632,76.0,measure,19,-1849.862,1008.739,direction
6,r06_20260912_232908.jsonl,84,1991.923,51.291,measure,19,-1765.447,793.225,direction
6,r06_20260912_232908.jsonl,85,2033.629,41.706,measure,19,-1625.787,674.151,direction
6,r06_20260912_232908.jsonl,86,2063.691,30.061,measure,19,-1569.033,562.433,direction
6,r06_20260912_232908.jsonl,87,2092.691,29.0,measure,19,-1486.528,475.295,direction
6,r06_20260912_232908.jsonl,88,2121.691,29.0,measure,19,-1429.85,369.523,direction
6,r06_20260912_232908.jsonl,89,2137.147,15.457,measure,19,-1480.244,383.449,direction
6,r06_20260912_232908.jsonl,90,2152.189,15.042,clear,19,-1430.709,391.653,success
6,r06_20260912_232908.jsonl,91,2228.189,76.0,measure,10,-1558.871,717.344,direction
6,r06_20260912_232908.jsonl,92,2298.261,70.071,clear,10,-1234.815,746.414,success
6,r06_20260912_232908.jsonl,93,2445.344,147.083,measure,9,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,94,2451.344,6.0,measure,8,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,95,2457.344,6.0,measure,12,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,96,2463.344,6.0,measure,7,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,97,2469.344,6.0,measure,13,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,98,2475.344,6.0,measure,6,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,99,2481.344,6.0,measure,14,-575.0,995.929,direction
6,r06_20260912_232908.jsonl,100,2487.344,6.0,measure,5,-575.0,995.929,no_signal
6,r06_20260912_232908.jsonl,101,2493.344,6.0,measure,3,-575.0,995.929,no_signal
